Station ,Jan ,Feb ,Mar ,Apr ,May ,June ,July ,Aug ,Sep ,Oct ,Nov ,Dec ,Period,Predicted Period
Dhaka-41923 ,15.4,16.1,23,26.1,25.4,27,27.7,27.4,26.7,24.9,20.7,17.2,23.13333333,23.42
Tangail-41909 ,12.9,13.8,20.6,25,24.7,26,27.1,26.6,26.1,24,18.5,14.9,21.68333333,21.91
Faridpur-41929 ,13.7,14.1,20.9,25.2,24.7,26.3,26.8,26.7,26.3,23.9,18.8,14.9,21.85833333,21.92
Madaripur-41939 ,13.2,13.2,19.6,25,24.7,26,26.8,26.4,26.1,24,18.6,14.5,21.50833333,21.51
Gopalgonj-41938 ,13.4,14,20.3,25.9,25.2,26.7,26.8,26.6,26.4,24,18.4,14.4,21.84166667,21.69
Nikli-41902 ,14.1,13.9,19.3,23.2,24.3,25.7,27.2,26.7,25.5,23.8,18.9,14.7,21.44166667,21.5
Mymensingh-41886 ,14.1,13.9,19.3,23.2,24.3,25.7,27.2,26.7,25.5,23.8,18.9,14.7,21.44166667,21.5
Netrokona-41888 ,13.6,14,20.5,24.1,24.4,25.8,27.1,27,26.1,24,18.6,14.7,21.65833333,21.86
Chattogram-41978 ,13.7,13.9,19.5,22.7,23.9,24.9,26.7,26.6,25.9,23.6,18.6,18,21.5,21.79
Sandwip-41964 ,16,15.7,21.8,26,25.2,25.7,26.5,26.4,25.8,25,22,15.4,22.625,22.69
Sitakunda-41965 ,14.1,13.9,20.3,25.8,25.3,25.9,26.3,26.3,25.7,24.1,19.3,14.7,21.80833333,21.71
Rangamati-41966 ,12.2,12.2,19.5,25,24.9,24.3,25.7,25.6,25.2,23.8,18.9,15.8,21.09166667,21.36
Cumilla-41933 ,13.8,13,19.2,24.6,24.2,24.7,25.3,25.1,25,23.8,19.5,14.3,21.04166667,21.04
Chandpur-41941 ,14.2,13.9,19.6,24.9,24.7,25.6,26.2,26.1,25.8,23.8,18.7,17.2,21.725,21.68
M Court-41953 ,15.2,15.4,21.8,25.6,25.4,26.6,26.9,26.8,26.3,24.6,21,16.9,22.70833333,22.8
Feni-41943 ,15.4,15.5,21,25.3,25.3,26.3,26.7,26.5,26.2,24.9,21.1,14.6,22.4,22.33
